# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
6.460000000000000000e+02,3.182917927721444218e-01,5.751318328814930547e-02,1.929629539032958960e-02,5.512029610467119450e-02,4.348892743317329598e-03,2.586940450053267903e-03,1.240511091787473369e-03,2.576797476610027948e-03
6.480000000000000000e+02,3.052956836205865110e-01,5.483597255116105101e-02,1.952539905525351588e-02,5.264956334588023062e-02,4.290995615302373861e-03,2.499369428147007414e-03,1.245197076235695678e-03,2.505530605840149052e-03
6.500000000000000000e+02,2.954167167221161683e-01,5.292529584895374478e-02,1.985481276697111108e-02,5.071009072318335975e-02,4.191888643245942139e-03,2.474758752434417803e-03,1.235356489894100067e-03,2.444797867996957152e-03
6.520000000000000000e+02,2.872673760115953545e-01,5.155908567596200615e-02,2.038349323260157595e-02,4.903162194496544363e-02,5.256731089841313806e-03,3.113981429779694079e-03,1.529481225309296246e-03,3.130514688593763212e-03
6.540000000000000000e+02,2.786900813234572394e-01,5.019372292258279106e-02,2.093596954708342589e-02,4.735677805848775845e-02,5.141023567421719627e-03,3.065205851325334980e-03,1.521256849403335989e-03,3.075819062760442278e-03
6.560000000000000000e+02,2.674498232488050631e-01,4.848409636748614304e-02,2.124154919798139363e-02,4.554490560951824502e-02,5.020787655134997113e-03,2.979467444713030690e-03,1.554595655222698993e-03,3.007019441955696964e-03
6.580000000000000000e+02,2.535000424658867546e-01,4.657823543884546946e-02,2.132868832791901328e-02,4.382440633880824166e-02,4.820017984845967156e-03,2.839020356782973216e-03,1.557869500090271198e-03,2.897601931558052568e-03
6.600000000000000000e+02,2.380412336853392763e-01,4.486506360251842768e-02,2.123119092471587727e-02,4.233804310823223449e-02,4.746338118291708146e-03,2.780152949246566044e-03,1.564442248490337771e-03,2.813153780522634467e-03
6.620000000000000000e+02,2.242517025440970146e-01,4.373546167598296730e-02,2.115816627589409832e-02,4.147731430544916720e-02,4.528046479963541114e-03,2.723046375435696220e-03,1.571807324611994771e-03,2.749150844092509982e-03
6.640000000000000000e+02,2.104482941231550497e-01,4.284027669395497340e-02,2.102240468351260216e-02,4.063120025601327234e-02,4.377207699640867089e-03,2.635699252541053635e-03,1.570359540566847699e-03,2.699624741179815299e-03
6.660000000000000000e+02,1.994959891385000572e-01,4.243660623346275779e-02,2.095904878328773771e-02,4.012090185409868809e-02,4.208674817635367320e-03,2.653753395827648017e-03,1.568179126272963931e-03,2.636407803475829606e-03
6.680000000000000000e+02,1.888535572801505469e-01,4.204962012002307070e-02,2.065875081780198241e-02,3.938680182041150862e-02,4.064589903406062160e-03,2.562903502036139279e-03,1.564634877356495474e-03,2.575706576343152112e-03
6.700000000000000000e+02,1.815769255383916925e-01,4.220429238296746766e-02,2.056843728675395930e-02,3.945301556458631620e-02,3.936041471273491084e-03,2.573177572200664297e-03,1.550893446545886008e-03,2.566576357441840549e-03
6.720000000000000000e+02,1.710969023575241443e-01,4.179036508591669336e-02,2.005267283646399931e-02,3.902774641160310087e-02,3.827354973707722350e-03,2.508568368150010126e-03,1.577439193392919875e-03,2.509384313860379880e-03
6.740000000000000000e+02,1.604467766873314827e-01,4.138936966217262453e-02,1.962126393094382193e-02,3.885442526927664064e-02,3.684516768306144059e-03,2.485364268232237960e-03,1.563805266995980806e-03,2.477942829477508720e-03
6.760000000000000000e+02,1.466942695500484395e-01,4.028324248428599708e-02,1.886440714492516879e-02,3.790899894329832071e-02,3.572399811693481933e-03,2.407888840035838154e-03,1.538779779335538696e-03,2.416020256345793610e-03
6.780000000000000000e+02,1.289359012559844475e-01,3.800578389256942247e-02,1.749126126165655853e-02,3.577072721514001213e-02,3.356446540554981761e-03,2.339626841593001917e-03,1.543040188761831549e-03,2.289920207685573143e-03
6.800000000000000000e+02,1.054445649117818767e-01,3.311844962810427118e-02,1.486167037717241353e-02,3.119707978919213087e-02,3.008938703260108632e-03,2.196477867552611846e-03,1.490006402043112660e-03,2.132432600141292208e-03
6.820000000000000000e+02,8.041921280807924621e-02,2.653273704516916076e-02,1.159432606415370000e-02,2.506561195507231443e-02,2.600689206846489368e-03,1.946148512947171909e-03,1.389280754672942960e-03,1.847563712298840553e-03
6.840000000000000000e+02,5.633651908641865852e-02,1.964580527091320736e-02,8.217628316720893694e-03,1.855344810092974042e-02,2.219929897544838191e-03,1.621216858816596374e-03,1.259565393125969312e-03,1.572080025036276876e-03
6.860000000000000000e+02,3.787083893014379227e-02,1.370001526660188061e-02,5.601258307949183966e-03,1.286547925772298616e-02,1.817552300045492415e-03,1.527397887466843285e-03,1.142676617596520821e-03,1.467789536841699943e-03
6.880000000000000000e+02,2.400318286921025029e-02,8.871399685181165576e-03,3.665057507393259563e-03,8.293915718273880272e-03,1.579522527882954450e-03,1.351226417078672457e-03,1.067327898963001120e-03,1.310912845967857412e-03
6.900000000000000000e+02,1.545267125834523178e-02,5.711012886898588978e-03,2.405231435044258292e-03,5.358607321041696306e-03,1.398387376280732985e-03,1.153484262691453635e-03,1.026509442150522243e-03,1.110453297603192484e-03
6.920000000000000000e+02,9.815118276689073842e-03,3.825683895989829067e-03,1.666885059315554316e-03,3.596856498683796786e-03,1.303887189345695257e-03,1.010651490304989748e-03,1.011064220324078096e-03,9.812768309298842539e-04
6.940000000000000000e+02,6.289731514487979791e-03,2.688559931095601315e-03,1.162692491480793889e-03,2.525697446363180717e-03,1.146111656659681280e-03,9.562190283520855590e-04,1.029758693320382635e-03,9.260707707578770933e-04
6.960000000000000000e+02,4.189745866820172859e-03,1.933765329595596525e-03,8.522570557829297440e-04,1.820687841362158849e-03,1.017617921408473566e-03,9.245047585241202882e-04,1.053590320065656352e-03,9.101256845900078558e-04
6.980000000000000000e+02,2.925508550890066912e-03,1.423771033736680224e-03,6.477134081331682768e-04,1.356029273759829824e-03,9.505023001968178039e-04,9.194692760481005178e-04,1.071236529424101497e-03,9.075584279042187182e-04
7.000000000000000000e+02,2.135316788755065552e-03,1.091032557252997245e-03,4.868846293987264245e-04,1.024104697076018942e-03,9.135952151088365695e-04,9.207307586406388369e-04,1.058689437392503971e-03,8.992364156892782272e-04
