# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.280000000000000000e+02,3.475310638811673208e-02,2.445259802682864247e-02,5.627970498467190774e-01,2.522260339703449525e-02,1.892872013437437665e-03,1.668150009871808420e-03,7.653550034482989664e-03,1.667011760325040701e-03
4.300000000000000000e+02,3.332617837538284777e-02,2.438281398849776252e-02,5.795053057378687367e-01,2.517389576575633156e-02,1.822141391371545410e-03,1.684237361719645226e-03,7.867633042642936669e-03,1.682556287208289685e-03
4.320000000000000000e+02,3.150903763293365356e-02,2.481168336523313644e-02,5.856970006915179772e-01,2.561686794355210253e-02,1.735677180795169340e-03,1.676926666747776372e-03,7.862176073783149963e-03,1.692096347436047952e-03
4.340000000000000000e+02,2.970535366580043246e-02,2.602921027803829432e-02,5.887588655372744117e-01,2.681596679159223631e-02,1.655093987402582933e-03,1.743976711954908169e-03,7.871663391771668156e-03,1.747352301457438632e-03
4.360000000000000000e+02,2.829057300740338288e-02,2.794396090933226259e-02,5.963377020752371749e-01,2.880863204490727650e-02,1.565228074772064730e-03,1.853145082924682798e-03,7.848431912746966013e-03,1.862581915861617320e-03
4.380000000000000000e+02,2.780194651566818276e-02,3.109212724435746547e-02,6.224265492662368615e-01,3.203253891510118856e-02,1.521251665851691649e-03,2.016130073404877755e-03,8.070266201697803843e-03,2.014592428301781139e-03
4.400000000000000000e+02,2.702150706653966977e-02,3.410767125105995667e-02,6.432221582678901983e-01,3.509515170373254944e-02,1.508999605286209626e-03,2.192292031066802541e-03,8.235524325151165684e-03,2.205426631103087239e-03
4.420000000000000000e+02,2.600742565889232680e-02,3.674559528158842514e-02,6.591215969224194504e-01,3.777795983307885574e-02,1.456404284023793102e-03,2.341393365261242032e-03,8.392792956090010595e-03,2.319934872231846704e-03
4.440000000000000000e+02,2.447128054517355364e-02,3.814287222752429235e-02,6.636409678839413351e-01,3.917948940315398032e-02,1.379519506896610898e-03,2.392157113446236570e-03,8.433846177696456559e-03,2.385977119484195171e-03
4.460000000000000000e+02,2.318745281015583207e-02,3.868713012224756637e-02,6.738139968003645786e-01,3.973930569840645327e-02,1.332637295993756863e-03,2.448392624116882063e-03,8.465404331353721529e-03,2.420826379905155566e-03
